item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
4851,Spider-Man and Green Goblin -- The origins,2003,Spider-Man,,218,6,http://images.brickset.com/sets/images/4851-1.jpg,24.99,30,NA,NA,Box,Retail
4852,Spider-Man vs. Green Goblin -- The final showdown,2003,Spider-Man,,360,4,http://images.brickset.com/sets/images/4852-1.jpg,44.99,50,NA,NA,Box,Retail
5012,Soccer,2003,Sports,Football,15,1,http://images.brickset.com/sets/images/5012-1.jpg,0.78,NA,NA,NA,Polybag,Promotional
5014,Hockey,2003,Sports,Hockey,28,NA,http://images.brickset.com/sets/images/5014-1.jpg,0.78,NA,NA,NA,Polybag,Promotional
5015,Skater,2003,Sports,Gravity Games,15,1,http://images.brickset.com/sets/images/5015-1.jpg,0.78,NA,NA,NA,Polybag,Promotional
5211,Explore Half Strata Box,2003,Explore,Imagination,110,NA,http://images.brickset.com/sets/images/5211-1.jpg,19.99,NA,NA,NA,Not specified,Not specified
5212,Explore Strata,2003,Explore,Imagination,139,NA,http://images.brickset.com/sets/images/5212-1.jpg,29.99,NA,NA,NA,Not specified,Not specified
5213,Big Bricks Box,2003,Explore,Imagination,140,NA,http://images.brickset.com/sets/images/5213-1.jpg,12.99,NA,NA,NA,Not specified,Not specified
5437,Chicken,2003,Explore,Imagination,6,NA,http://images.brickset.com/sets/images/5437-1.jpg,NA,2,NA,NA,Polybag,Unknown
5441,Smiling Rattle,2003,Explore,Being Me,2,NA,http://images.brickset.com/sets/images/5441-1.jpg,3.99,NA,NA,NA,Not specified,Not specified
5443,Curly Hanging Rattle,2003,Explore,Being Me,2,NA,http://images.brickset.com/sets/images/5443-1.jpg,4.99,NA,NA,NA,Not specified,Not specified
5446,Roll 'n' Tip,2003,Explore,Being Me,1,NA,http://images.brickset.com/sets/images/5446-1.jpg,7.99,NA,NA,NA,Not specified,Not specified
5449,Stack 'n' Learn Sorter,2003,Explore,Being Me,13,NA,http://images.brickset.com/sets/images/5449-1.jpg,9.99,7,NA,NA,Not specified,Not specified
5450,Discovery Bird,2003,Explore,Being Me,2,NA,http://images.brickset.com/sets/images/5450-1.jpg,12.99,NA,NA,NA,Not specified,Not specified
5451,Musical Sea Mobile,2003,Explore,Being Me,NA,NA,http://images.brickset.com/sets/images/5451-1.jpg,24.99,NA,NA,NA,Not specified,Not specified
5856,Paprika and the Mischievous Monkey,2003,Belville,,51,1,http://images.brickset.com/sets/images/5856-1.jpg,5.99,9,NA,NA,Not specified,Not specified
5857,Safran's Amazing Bazaar,2003,Belville,,93,1,http://images.brickset.com/sets/images/5857-1.jpg,17.99,20,NA,NA,Not specified,Not specified
5858,The Golden Palace,2003,Belville,,173,2,http://images.brickset.com/sets/images/5858-1.jpg,44.99,55,NA,NA,Not specified,Not specified
5859,Little Garden Fairy,2003,Belville,,51,1,http://images.brickset.com/sets/images/5859-1.jpg,5.99,9,NA,NA,Not specified,Not specified
5861,Fairy Island,2003,Belville,,101,2,http://images.brickset.com/sets/images/5861-1.jpg,19.99,28,NA,NA,Not specified,Not specified
5862,Flower Fairy Party,2003,Belville,,161,2,http://images.brickset.com/sets/images/5862-1.jpg,32.99,48,NA,NA,Not specified,Not specified
65182,Slammer Stadium,2003,Sports,Product Collection,22,NA,http://images.brickset.com/sets/images/65182-1.jpg,NA,40,NA,NA,Box,Retail
65295,Bionicle twin-pack with gold mask,2003,Bionicle,Product Collection,50,NA,http://images.brickset.com/sets/images/65295-1.jpg,NA,8,NA,NA,Not specified,Not specified
65296,Bionicle twin-pack with gold mask,2003,Bionicle,Product Collection,50,NA,http://images.brickset.com/sets/images/65296-1.jpg,NA,8,NA,NA,Not specified,Not specified
65297,Bionicle twin-pack with gold mask,2003,Bionicle,Product Collection,50,NA,http://images.brickset.com/sets/images/65297-1.jpg,NA,8,NA,NA,Not specified,Not specified
7030,Squad Car,2003,World City,Police and Rescue,52,1,http://images.brickset.com/sets/images/7030-1.jpg,2.99,4,NA,NA,Box,Retail
7031,Helicopter,2003,World City,Police and Rescue,88,1,http://images.brickset.com/sets/images/7031-1.jpg,7.99,10,NA,NA,Box,Retail
7032,Police 4WD and Undercover Van,2003,World City,Police and Rescue,154,2,http://images.brickset.com/sets/images/7032-1.jpg,9.99,15,NA,NA,Box,Retail
7033,Armoured Car Action,2003,World City,Police and Rescue,181,2,http://images.brickset.com/sets/images/7033-1.jpg,14.99,20,NA,NA,Box,Retail
7034,Surveillance Truck,2003,World City,Police and Rescue,261,2,http://images.brickset.com/sets/images/7034-1.jpg,24.99,30,NA,NA,Box,Retail
7035,Police HQ,2003,World City,Police and Rescue,422,4,http://images.brickset.com/sets/images/7035-1.jpg,39.99,50,NA,NA,Box,Retail
7212,Inflight Sales,2003,Creator,Designer Set,129,NA,http://images.brickset.com/sets/images/7212-1.jpg,NA,10,NA,NA,Box,Promotional (Airline)
7409,Secret of the Tomb,2003,Adventurers,Orient Expedition,42,2,http://images.brickset.com/sets/images/7409-1.jpg,2.99,4,NA,NA,Box,Retail
